[ 2016-01-30T00:14:04+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002919s ]
[ 2016-01-30T00:14:04+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000391s ]
[ 2016-01-30T00:14:04+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002852s ]
[ 2016-01-30T00:14:04+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000138s ]
[ 2016-01-30T00:14:04+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002461s ]
[ 2016-01-30T00:14:04+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:14:46+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002673s ]
[ 2016-01-30T00:14:46+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000080s ]
[ 2016-01-30T00:14:46+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003151s ]
[ 2016-01-30T00:14:46+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000134s ]
[ 2016-01-30T00:14:46+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002425s ]
[ 2016-01-30T00:14:46+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:16:51+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003865s ]
[ 2016-01-30T00:16:51+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000136s ]
[ 2016-01-30T00:16:51+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003895s ]
[ 2016-01-30T00:16:51+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000173s ]
[ 2016-01-30T00:16:51+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.003203s ]
[ 2016-01-30T00:16:51+08:00 ] /admin.php?m=Order&a=count | NOTIC: [8] Undefined variable: group functions.php 第 94 行.
[ 2016-01-30T00:17:46+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002654s ]
[ 2016-01-30T00:17:46+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT COUNT(*) AS `count`,SUM(`money`) AS `money`,SUM(`amount`) AS `gold` FROM `gt_project_order` WHERE `createtime` >= 1454083200 AND `status` >= 1 LIMIT 1  [ RunTime:0.000076s ]
[ 2016-01-30T00:17:46+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.002764s ]
[ 2016-01-30T00:17:46+08:00 ] /admin.php?m=Order&a=count | SQL: SELECT `id`,`cn_name` FROM `gt_project_agent` [ RunTime:0.000154s ]
[ 2016-01-30T00:17:46+08:00 ] /admin.php?m=Order&a=count | SQL: SHOW COLUMNS FROM `gt_project_order` [ RunTime:0.002505s ]
