[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.007344s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000324s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.006564s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000277s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | NOTIC: [8] Undefined index: gt_uname GameAction.class.php 第 15 行.
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.007038s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SELECT * FROM `gt_project_agent` WHERE projectId = 1 AND id = 64 LIMIT 1  [ RunTime:0.000253s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.006456s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SELECT * FROM `gt_project_server` WHERE projectId = 1 AND agentid = 64 ORDER BY `id` DESC [ RunTime:0.000938s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | SQL: SELECT * FROM `gt_project_server` WHERE projectId = 1 AND agentid = 64 AND `recommend`=1 ORDER BY `id` DESC LIMIT 1  [ RunTime:0.000287s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | NOTIC: [8] Undefined index: gt_uname 6b7192907ed8a82754282142fbbe70cb.php 第 38 行.
[ 2016-01-05T21:01:13+08:00 ] /?m=Game&a=index&pid=1&aid=64 | NOTIC: [8] Undefined index: pitch 6b7192907ed8a82754282142fbbe70cb.php 第 43 行.
[ 2016-01-05T21:01:13+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003576s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000179s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:13+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003704s ]
[ 2016-01-05T21:01:13+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000112s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003232s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000175s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003491s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000130s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.002994s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SELECT `id`,`pid`,`cateName` FROM `gt_project_category` WHERE ( `id` = 3 ) LIMIT 1  [ RunTime:0.000102s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SELECT * FROM `gt_project_category` WHERE ( `pid` = '3' ) [ RunTime:0.000101s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SHOW COLUMNS FROM `gt_project_article` [ RunTime:0.002725s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SELECT COUNT(*) AS tp_count FROM `gt_project_article` WHERE cateId IN (11) LIMIT 1  [ RunTime:0.000083s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | SQL: SELECT `id`,`cateId`,`title`,`createTime` FROM `gt_project_article` WHERE cateId IN (11) ORDER BY sort DESC LIMIT 0,25  [ RunTime:0.000079s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 38 行.
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | NOTIC: [8] Undefined index: pitch 6b9abf15750aa96328ffe542d2c95880.php 第 43 行.
[ 2016-01-05T21:01:15+08:00 ] /?m=Article&a=index&pid=3 | NOTIC: [8] Undefined index: gt_uname 6b9abf15750aa96328ffe542d2c95880.php 第 96 行.
[ 2016-01-05T21:01:15+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.004774s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000337s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Index&a=verify | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:15+08:00 ] /?m=Index&a=verify | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.004141s ]
[ 2016-01-05T21:01:15+08:00 ] /?m=Index&a=verify | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000192s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_agent` [ RunTime:0.003337s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT * FROM `gt_project_agent` [ RunTime:0.000190s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | NOTIC: [8] Undefined index: pitch CommonAction.class.php 第 39 行.
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_server` [ RunTime:0.003218s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT * FROM `gt_project_server` WHERE  `recommend` = 1  LIMIT 5  [ RunTime:0.000167s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_category` [ RunTime:0.003163s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT `id`,`pid`,`cateName` FROM `gt_project_category` WHERE ( `id` = 1 ) LIMIT 1  [ RunTime:0.000262s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT * FROM `gt_project_category` WHERE ( `pid` = '1' ) [ RunTime:0.000269s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SHOW COLUMNS FROM `gt_project_article` [ RunTime:0.003650s ]
[ 2016-01-05T21:01:19+08:00 ] /?m=Article&a=index&pid=1 | SQL: SELECT COUNT(*) AS tp_count FROM `gt_project_article` WHERE cateId IN (4,5,6) LIMIT 1  [ RunTime:0.057160s ]
